ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_2UWUTw7mkPkNsrU	Distance Trip 1	5 km (bicycle)	kilometers	5	bicycle	bicycle	5
R_2UXZRHZ9XH00w8F	Distance Trip 1	300	kilometers	300	unknown	unknown	300
R_2V3FkhxditLMS62	Distance Trip 1	40	miles	40	unknown	unknown	40
R_2V4JcPckVcSrQHw	Distance Trip 1	1000km	kilometers	1000	unknown	unknown	1000
R_2VE02nFwIWMyO9t	Distance Trip 1	750 (plane)	miles	750	plane	plane	750
R_2VjBmfHzhGD4Pq5	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2WBacYdzSfNys2Y	Distance Trip 1	20 (car)	miles	20	car	car	20
R_2wi35tG03ZWLHi8	Distance Trip 1	1334 km (airplane)	kilometers	1334	plane	plane	1334
R_2wjz7Ur9aFj3ZIn	Distance Trip 1	0 (home institution)	kilometers	0	foot	foot	0
R_2wNcnkDHwDH8OZd	Distance Trip 1	3675 (plane)	miles	3675	plane	plane	3675
R_2wnRsnklhpO0XyK	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2wSMv1DWAXFTCrO	Distance Trip 1	1118.01 (flight)	miles	1118.01	plane	plane	1118.01
R_2Wx63AMYK9lixCc	Distance Trip 1	10141 (plane)	miles	10141	plane	plane	10141
R_2wzQDVWX5AUgGAj	Distance Trip 1	640 (plane)	kilometers	640	plane	plane	640
R_2WZR5wghMKjV2RV	Distance Trip 1	281 (train)	kilometers	281	train	train	281
R_2X5VkXAbC8rBjsf	Distance Trip 1	4000 (air)	miles	4000	plane	plane	4000
R_2xJ0RjoQXIbJjk7	Distance Trip 1	1200 miles (airplane)	miles	1200	plane	plane	1200
R_2XnQBGApNFX0vIC	Distance Trip 1	2390	NA	NA	NA	NA	NA
R_2xWz8txYcChXZok	Distance Trip 1	0 (on line)	kilometers	0	virtual	virtual	0
R_2xXLkJFcNZpNU4X	Distance Trip 1	20: car	kilometers	20	car	car	20
R_2Y2DxiYIDX0u3fp	Distance Trip 1	1400 km (plane + train)	kilometers	1400	mixed	plane	1400
R_2ya3OZAcYaAZMMX	Distance Trip 1	1500	kilometers	1500	unknown	unknown	1500
R_2Ychd5rTcVICVfk	Distance Trip 1	696	miles	696	unknown	unknown	696
R_2yk2ZlrDeXT3aVE	Distance Trip 1	30 km car	kilometers	30	car	car	30
R_2ylLEEG37HBQw9a	Distance Trip 1	50: train	miles	50	train	train	50
R_2YsUkdZxw0cGoA6	Distance Trip 1	5000 miles (plane)	miles	5000	plane	plane	5000
R_2z60istNm0R2Nix	Distance Trip 1	100	miles	100	unknown	unknown	100
R_2z8AWMlZx53ZNDK	Distance Trip 1	9000 (flight)	kilometers	9000	plane	plane	9000
R_2zA9EoC0cC4pm6m	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2zBZwBacEhl0Rvk	Distance Trip 1	820 (plane)	miles	820	plane	plane	820
R_2zDc4pa39RunsBC	Distance Trip 1	400 (Airplane)	miles	400	plane	plane	400
R_2ZHsqIgqVrZxZyc	Distance Trip 1	1183 (flight)	miles	1183	plane	plane	1183
R_2ZHzsJSG1abMlHM	Distance Trip 1	757 (plane + train/bus)	kilometers	757	mixed	plane	757
R_2zj6izm7Q0k3IdA	Distance Trip 1	6725.3 (plane)	miles	6725.3	plane	plane	6725.3
R_2zkKJ8g3vh5nmBw	Distance Trip 1	470	miles	470	unknown	unknown	470
R_2zqKmvHvw5gGqYy	Distance Trip 1	1200km, flight	kilometers	1200	plane	plane	1200
R_2zu0OXFD6dNM5ZP	Distance Trip 1	824 (plane)	miles	824	plane	plane	824
R_2zUqkPzFaNJnBuc	Distance Trip 1	700 miles (plane)	miles	700	plane	plane	700
R_2zYzWhdklpixF8o	Distance Trip 1	600 (plane)	miles	600	plane	plane	600
R_2zZogL2trQKWI0i	Distance Trip 1	713 (plane)	miles	713	plane	plane	713
R_30l76bWjzhc8FKy	Distance Trip 1	100 km (train)	kilometers	100	train	train	100
R_30q62jg9m5HUL6q	Distance Trip 1	3919.73 (plane)	kilometers	3919.73	plane	plane	3919.73
R_31MFkzeKtQUSyxg	Distance Trip 1	10000	kilometers	10000	unknown	unknown	10000
R_31Mjr9TdEDipfJ4	Distance Trip 1	735 (bus)	kilometers	735	bus	bus	735
R_32KKpoOOeXW24Nt	Distance Trip 1	67 mi car	miles	67	car	car	67
R_338UMxkUqgORHyK	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3CHgXMNJtbxEwXb	Distance Trip 1	50km	kilometers	50	unknown	unknown	50
R_3CJUkLRQ68mpBUs	Distance Trip 1	50	kilometers	50	unknown	unknown	50
R_3CNGhDjcKVyTijW	Distance Trip 1	711	miles	711	unknown	unknown	711
R_3CTwi47l0yUKSb2	Distance Trip 1	100	miles	100	unknown	unknown	100
R_3CZcyXFIOaCJUtG	Distance Trip 1	267	miles	267	unknown	unknown	267
R_3D8esAFQu463HCf	Distance Trip 1	233	miles	233	unknown	unknown	233
R_3Djz6e6V5wI2c82	Distance Trip 1	329 (train)	kilometers	329	train	train	329
R_3dKhonWtU5Le73X	Distance Trip 1	300 (train)	kilometers	300	train	train	300
R_3dVYR1oZh56RTiL	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3dVZ5ynwyPmRvfo	Distance Trip 1	608 (plane)	miles	608	plane	plane	608
R_3e2nYQ8ueoDgRIG	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3eadWSYnfykIA8p	Distance Trip 1	550 (plane)	miles	550	plane	plane	550
R_3EnY1G9PtWn78b8	Distance Trip 1	1	kilometers	1	unknown	unknown	1
R_3eyufIPkPz3VcXL	Distance Trip 1	AAAS	NA	NA	NA	NA	NA
R_3Ezgg60qvQsWklJ	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3F3dqW0Y5HG326G	Distance Trip 1	250 miles (plane)	miles	250	plane	plane	250
R_3fm0eWMqcVsvNmk	Distance Trip 1	5 (Bus)	kilometers	5	bus	bus	5
R_3fotmEOImI7cjQy	Distance Trip 1	715 km (plane)	kilometers	715	plane	plane	715
R_3FPXv3QPH7XFZUB	Distance Trip 1	35 (car)	miles	35	car	car	35
R_3fT4JSnuSCZtj1m	Distance Trip 1	5km bike	kilometers	5	bicycle	bicycle	5
R_3g02tr9F7UkRGix	Distance Trip 1	2600 (air)	miles	2600	plane	plane	2600
R_3G0UWy6Gs83DJOR	Distance Trip 1	2500	kilometers	2500	unknown	unknown	2500
R_3G33Ra9Gp370DOu	Distance Trip 1	937 (plane)	miles	937	plane	plane	937
R_3GkLUEhy7LWppaX	Distance Trip 1	1417.48 miles (plane)	miles	1417.48	plane	plane	1417.48
R_3GvLVOPHuahG2Tj	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_3GvruSzDF5lccvi	Distance Trip 1	542 (train)	kilometers	542	train	train	542
R_3gxv1E2MhtISFO1	Distance Trip 1	400 miles	miles	400	unknown	unknown	400
R_3HC6tZoWfCKntzF	Distance Trip 1	132	miles	132	unknown	unknown	132
R_3HCfirAd5ckcafb	Distance Trip 1	1500	miles	1500	unknown	unknown	1500
